customer_id,age,city,account_length_months,contract_type,monthly_minutes,monthly_data_gb,monthly_sms,monthly_charge,late_payments,international_calls,customer_service_calls,device_age_months,churned,is_fraud
CUST_000040,46,Koforidua,10,Prepaid,2722,21.53,52,204.36,0,0,0,3,0,0
CUST_000041,35,Kumasi,12,Prepaid,175,20.19,40,73.13,3,0,2,5,1,0
CUST_000042,38,Ho,6,Prepaid,26,0.61,52,27.72,0,0,1,7,0,0
CUST_000043,47,Cape Coast,7,Postpaid,226,5.72,56,48.34,0,1,0,31,1,0
CUST_000044,36,Obuasi,20,Postpaid,345,9.22,41,59.79,0,0,0,19,0,0
CUST_000045,49,Sunyani,13,Prepaid,268,2.37,49,43.04,1,0,1,42,0,0
CUST_000046,18,Tema,3,Prepaid,1266,7.9,52,104.3,0,0,1,25,1,0
CUST_000047,31,Kumasi,38,Prepaid,151,0.81,44,33.57,1,2,1,3,0,0
CUST_000048,42,Sunyani,3,Prepaid,381,4.41,50,52.87,1,1,3,16,0,0
CUST_000049,33,Kumasi,2,Prepaid,881,20.95,58,111.75,0,1,0,29,0,0
CUST_000050,44,Kumasi,10,Prepaid,434,2.13,55,51.46,0,1,0,12,0,0
CUST_000051,57,Accra,1,Postpaid,1244,5.45,41,97.2,1,1,0,4,1,0
CUST_000052,34,Kumasi,19,Prepaid,234,0.34,56,37.98,0,1,1,3,0,0
CUST_000053,44,Accra,12,Postpaid,107,0.13,42,29.81,1,0,0,1,0,0
CUST_000054,20,Tamale,2,Prepaid,823,1.39,58,69.73,0,4,0,4,0,0
CUST_000055,46,Tema,40,Prepaid,335,2.09,45,45.43,0,0,1,10,0,0
CUST_000056,46,Tamale,38,Prepaid,391,2.77,51,50.19,0,0,3,1,0,0
CUST_000057,39,Kumasi,25,Postpaid,73,8.85,43,45.65,0,4,2,3,0,0
CUST_000058,27,Sekondi-Takoradi,4,Postpaid,414,6.7,38,57.9,0,0,0,6,0,0
CUST_000059,36,Kumasi,5,Postpaid,482,0.16,45,48.92,0,1,0,2,0,0
CUST_000060,27,Kumasi,6,Prepaid,2471,8.55,57,166.35,0,1,0,44,0,0
CUST_000061,37,Sunyani,49,Postpaid,106,6.59,57,44.18,1,0,1,51,0,0
CUST_000062,38,Accra,59,Postpaid,112,0.17,54,31.34,3,3,1,1,0,0
CUST_000063,37,Accra,9,Postpaid,249,6.45,36,48.95,0,3,0,39,0,0
CUST_000064,35,Kumasi,67,Prepaid,1170,8.02,56,100.14,0,1,3,24,0,0
CUST_000065,22,Sekondi-Takoradi,6,Prepaid,141,0.22,48,32.29,1,5,1,38,1,0
CUST_000066,49,Ho,17,Prepaid,2040,1.31,42,128.82,0,3,0,60,1,0
CUST_000067,30,Accra,34,Prepaid,124,5.95,42,42.3,0,0,1,1,0,0
CUST_000068,38,Obuasi,25,Prepaid,563,4.0,38,59.95,0,0,1,4,0,0
CUST_000069,18,Sekondi-Takoradi,21,Postpaid,168,8.71,47,50.52,0,0,4,32,1,0
CUST_000070,27,Accra,51,Prepaid,652,10.27,41,77.24,1,3,2,17,1,0
CUST_000071,42,Cape Coast,36,Postpaid,3509,0.57,56,202.19,1,2,1,20,0,0
CUST_000072,36,Accra,10,Prepaid,200,4.85,55,45.2,1,0,0,26,0,0
CUST_000073,20,Kumasi,38,Prepaid,337,5.92,44,53.09,1,0,1,51,0,0
CUST_000074,45,Tema,6,Postpaid,328,1.2,47,43.5,0,6,0,26,0,0
CUST_000075,23,Accra,1,Prepaid,557,12.68,52,78.41,0,0,1,12,0,0
CUST_000076,27,Kumasi,14,Postpaid,1091,0.1,37,78.45,0,1,0,35,0,0
CUST_000077,31,Accra,103,Prepaid,269,0.77,50,39.99,1,0,0,1,0,0
CUST_000078,22,Obuasi,20,Postpaid,304,5.85,57,52.6,0,0,2,1,0,0
CUST_000079,45,Accra,9,Prepaid,761,8.43,38,78.71,0,3,1,23,0,0
CUST_000080,22,Kumasi,37,Postpaid,237,5.38,50,47.61,1,11,2,1,0,0
CUST_000081,39,Kumasi,32,Postpaid,770,2.77,47,68.74,1,4,1,12,0,0
CUST_000082,42,Kumasi,58,Prepaid,83,1.18,53,31.81,1,2,1,60,0,0
CUST_000083,41,Ho,14,Postpaid,278,3.62,47,45.84,0,0,1,7,0,0
CUST_000084,18,Kumasi,1,Prepaid,307,0.93,50,42.21,0,1,1,1,1,0
CUST_000085,39,Tamale,21,Prepaid,620,10.14,43,75.58,0,0,2,10,0,0
CUST_000086,45,Accra,14,Postpaid,570,3.62,50,60.74,0,0,0,4,0,0
CUST_000087,27,Sekondi-Takoradi,48,Postpaid,2735,0.97,54,164.09,2,1,2,21,0,0
CUST_000088,54,Kumasi,2,Postpaid,128,5.36,59,43.02,0,4,1,29,1,0
CUST_000089,33,Sekondi-Takoradi,18,Prepaid,457,0.1,46,47.65,0,2,1,8,0,0
CUST_000090,48,Sekondi-Takoradi,14,Prepaid,1870,2.39,59,124.18,0,0,0,9,0,0
CUST_000091,43,Kumasi,30,Prepaid,717,15.56,61,93.07,1,5,0,11,0,0
CUST_000092,37,Accra,8,Postpaid,1622,4.71,55,116.02,0,0,0,3,0,0
CUST_000093,18,Koforidua,79,Prepaid,626,3.3,57,63.6,0,2,4,16,0,0
CUST_000094,20,Accra,36,Prepaid,201,1.61,57,38.97,1,1,1,24,1,0
CUST_000095,35,Cape Coast,22,Postpaid,348,3.96,44,49.72,0,1,1,9,0,0
CUST_000096,38,Tema,20,Prepaid,236,1.6,38,38.8,1,0,0,1,0,0
CUST_000097,37,Sunyani,50,Postpaid,85,5.26,51,39.87,0,2,2,11,0,0
CUST_000098,41,Tamale,5,Prepaid,160,3.84,39,39.58,0,3,1,2,1,0
CUST_000099,35,Tamale,23,Prepaid,1376,0.47,56,95.34,2,0,0,8,0,0
CUST_000100,24,Obuasi,14,Postpaid,81,4.59,50,38.23,0,9,1,2,0,0
CUST_000101,38,Obuasi,37,Postpaid,556,1.82,38,55.24,0,2,0,18,0,0
CUST_000102,34,Tamale,22,Prepaid,913,7.24,42,84.33,0,0,0,1,0,0
CUST_000103,34,Ho,8,Prepaid,656,3.53,49,64.76,1,1,1,27,0,0
CUST_000104,36,Kumasi,98,Prepaid,287,1.37,41,41.19,0,0,1,60,0,0
CUST_000105,40,Kumasi,13,Postpaid,3978,0.7,60,226.3,0,0,1,26,0,0
CUST_000106,28,Kumasi,18,Prepaid,596,1.21,68,59.02,0,1,2,2,0,0
CUST_000107,18,Koforidua,14,Postpaid,80,7.69,56,44.98,1,0,1,11,0,0
CUST_000108,50,Sunyani,1,Postpaid,1922,3.65,41,127.5,0,0,0,1,0,0
CUST_000109,25,Accra,8,Postpaid,1478,2.15,56,103.8,0,0,0,26,0,0
CUST_000110,42,Sekondi-Takoradi,11,Postpaid,1496,1.15,40,101.1,1,1,0,28,0,0
CUST_000111,53,Accra,40,Postpaid,670,5.34,41,68.28,1,0,1,51,0,0
CUST_000112,38,Accra,8,Prepaid,912,8.46,62,88.72,1,3,3,60,1,0
CUST_000113,39,Tema,40,Prepaid,210,1.2,50,37.9,1,1,1,21,0,0
CUST_000114,33,Tema,1,Prepaid,118,1.42,39,32.64,0,2,1,27,0,0
CUST_000115,18,Tamale,3,Postpaid,133,1.82,47,34.99,0,1,1,7,0,0
CUST_000116,61,Kumasi,1,Postpaid,300,4.34,51,48.78,0,3,0,12,0,0
CUST_000117,43,Sunyani,37,Prepaid,1048,3.64,49,84.58,0,1,0,16,0,1
CUST_000118,22,Obuasi,24,Prepaid,2576,7.7,40,168.2,1,1,1,7,0,0
CUST_000119,36,Kumasi,8,Prepaid,68,14.12,45,56.14,2,3,1,1,0,0
CUST_000120,45,Cape Coast,4,Prepaid,878,4.71,41,77.42,0,0,0,42,0,0
CUST_000121,52,Tamale,1,Postpaid,307,3.34,30,45.03,0,1,0,1,0,0
CUST_000122,18,Accra,31,Prepaid,237,19.9,45,76.15,0,1,2,2,0,0
CUST_000123,37,Obuasi,17,Prepaid,1272,0.61,59,90.72,0,2,1,11,0,0
CUST_000124,29,Kumasi,12,Postpaid,3010,5.26,51,186.12,0,3,1,4,0,0
CUST_000125,36,Tema,5,Prepaid,2048,10.51,44,147.82,0,1,2,19,1,0
CUST_000126,18,Koforidua,37,Postpaid,493,4.31,53,58.57,0,4,1,28,0,0
CUST_000127,30,Sekondi-Takoradi,4,Postpaid,269,11.22,53,61.19,0,0,2,9,1,0
CUST_000128,20,Kumasi,1,Prepaid,312,4.1,50,48.8,0,0,3,11,1,0
CUST_000129,50,Sekondi-Takoradi,9,Prepaid,394,0.95,55,47.1,0,0,0,10,0,0
CUST_000130,46,Accra,15,Prepaid,262,19.34,53,77.08,1,2,0,34,0,0
CUST_000131,51,Accra,17,Prepaid,1110,1.82,43,83.44,0,2,4,42,1,0
CUST_000132,18,Tema,47,Postpaid,41,3.96,40,33.97,0,2,1,6,1,0
CUST_000133,23,Accra,42,Prepaid,1195,1.65,59,88.95,1,0,0,11,0,0
CUST_000134,47,Obuasi,1,Postpaid,170,11.66,59,57.72,1,0,0,1,0,1
CUST_000135,26,Sekondi-Takoradi,42,Prepaid,418,4.57,40,54.04,2,4,1,6,0,0
CUST_000136,33,Sekondi-Takoradi,22,Prepaid,1046,4.99,52,87.48,0,1,0,12,0,0
CUST_000137,35,Accra,24,Prepaid,2197,0.37,45,135.09,0,0,0,60,0,0
CUST_000138,18,Sekondi-Takoradi,5,Prepaid,862,3.63,44,74.76,0,3,1,48,0,0
CUST_000139,31,Kumasi,16,Prepaid,181,10.37,50,54.79,1,0,1,42,0,0
CUST_000140,29,Accra,7,Prepaid,467,0.31,52,49.17,0,0,1,9,0,0
CUST_000141,41,Accra,26,Prepaid,340,5.68,47,53.06,0,2,3,41,0,0
CUST_000142,34,Kumasi,8,Postpaid,327,3.33,52,48.21,0,1,0,19,0,0
CUST_000143,20,Accra,8,Postpaid,1011,7.78,49,91.01,3,0,1,22,0,0
CUST_000144,21,Kumasi,52,Prepaid,325,2.12,42,44.69,1,0,0,6,0,0
CUST_000145,57,Koforidua,3,Prepaid,254,3.32,69,46.24,0,0,0,25,0,0
CUST_000146,43,Kumasi,22,Prepaid,288,8.76,68,58.72,0,0,1,14,0,0
CUST_000147,22,Ho,5,Prepaid,168,0.3,47,33.7,0,1,0,17,0,0
CUST_000148,38,Obuasi,20,Postpaid,991,4.85,43,83.55,0,1,1,43,0,0
CUST_000149,38,Kumasi,3,Prepaid,272,7.9,45,53.9,0,7,2,6,0,0
CUST_000150,18,Koforidua,20,Prepaid,9299,10.03,58,510.81,0,6,0,34,0,1
CUST_000151,42,Accra,23,Postpaid,21,13.04,54,52.53,1,0,0,5,0,0
CUST_000152,28,Kumasi,1,Prepaid,950,6.69,58,86.68,0,2,3,12,0,0
CUST_000153,32,Accra,2,Prepaid,233,8.26,65,54.67,0,0,2,1,0,0
CUST_000154,45,Kumasi,63,Postpaid,214,2.6,61,42.0,0,0,3,2,0,0
CUST_000155,56,Accra,1,Prepaid,1392,5.74,44,105.48,0,0,1,6,0,0
CUST_000156,25,Kumasi,1,Prepaid,1237,3.58,34,92.41,1,0,1,8,0,0
CUST_000157,38,Tema,13,Prepaid,489,12.04,38,72.33,0,0,2,22,0,0
CUST_000158,36,Accra,8,Prepaid,491,0.56,56,51.27,0,0,2,4,0,0
CUST_000159,29,Sekondi-Takoradi,41,Postpaid,1724,9.5,43,129.5,0,4,0,16,0,0
CUST_000160,24,Accra,24,Prepaid,1243,2.51,55,92.67,1,0,0,13,0,0
CUST_000161,18,Kumasi,1,Prepaid,129,0.66,48,32.57,0,1,0,59,0,0
CUST_000162,43,Kumasi,17,Prepaid,827,18.65,40,102.65,2,0,0,26,0,0
CUST_000163,36,Cape Coast,45,Prepaid,424,0.12,61,47.54,1,1,0,4,0,0
CUST_000164,26,Tema,75,Postpaid,387,14.3,37,71.65,0,0,0,27,0,0
CUST_000165,19,Accra,26,Prepaid,1954,1.5,47,125.4,0,1,2,1,0,0
CUST_000166,35,Accra,6,Prepaid,723,3.47,54,68.49,0,3,1,1,0,0
CUST_000167,29,Koforidua,77,Postpaid,726,1.1,51,63.6,0,1,0,60,0,0
CUST_000168,40,Accra,33,Prepaid,411,0.88,49,47.21,0,2,1,26,0,0
CUST_000169,42,Kumasi,6,Prepaid,327,5.03,44,50.81,2,1,0,19,0,0
CUST_000170,18,Accra,33,Prepaid,81,12.53,66,55.71,0,3,0,7,0,0
CUST_000171,18,Kumasi,1,Prepaid,416,0.18,52,46.36,0,2,0,40,1,0
CUST_000172,33,Kumasi,16,Prepaid,1828,1.15,52,118.9,0,3,0,1,1,0
CUST_000173,40,Accra,9,Prepaid,604,5.91,56,67.62,0,4,1,1,0,0
CUST_000174,43,Kumasi,1,Postpaid,31,18.07,44,62.09,0,0,2,24,1,0
CUST_000175,49,Tamale,40,Prepaid,151,1.0,47,34.25,2,0,2,22,0,0
CUST_000176,42,Sunyani,8,Postpaid,89,6.27,56,42.59,0,1,1,21,0,0
CUST_000177,48,Tema,47,Postpaid,1016,1.6,57,79.7,0,0,4,12,0,0
CUST_000178,26,Obuasi,1,Postpaid,1710,9.13,44,128.16,1,1,2,14,0,0
CUST_000179,29,Kumasi,8,Postpaid,170,10.26,54,54.42,0,1,3,1,0,0
CUST_000180,49,Sekondi-Takoradi,9,Prepaid,88,6.6,48,42.4,1,1,1,8,0,0
CUST_000181,20,Kumasi,13,Prepaid,679,6.95,39,71.75,0,1,1,3,1,0
CUST_000182,45,Accra,13,Prepaid,1135,2.13,48,85.81,0,1,0,19,1,0
CUST_000183,28,Accra,21,Postpaid,307,4.89,53,50.43,0,6,0,22,0,0
CUST_000184,47,Kumasi,70,Prepaid,529,0.56,43,51.87,1,1,0,5,0,0
CUST_000185,30,Tamale,26,Prepaid,614,18.86,39,92.32,0,0,2,10,0,0
CUST_000186,53,Cape Coast,6,Prepaid,1466,6.26,39,109.72,2,0,0,5,0,0
CUST_000187,54,Tamale,2,Prepaid,1093,15.13,58,110.71,0,1,2,8,1,0
CUST_000188,25,Accra,54,Postpaid,101,5.49,56,41.63,1,2,1,49,0,0
CUST_000189,30,Accra,8,Prepaid,385,3.49,35,49.73,1,2,1,3,0,0
CUST_000190,44,Kumasi,40,Prepaid,566,5.78,40,63.86,0,0,1,7,0,0
CUST_000191,21,Cape Coast,16,Postpaid,103,14.16,59,59.37,0,1,1,20,0,0
CUST_000192,59,Accra,4,Postpaid,130,5.6,42,41.9,0,0,0,23,0,0
CUST_000193,31,Kumasi,10,Prepaid,617,0.56,44,56.37,1,0,1,57,0,0
CUST_000194,51,Accra,28,Prepaid,39,6.06,42,38.27,0,4,1,16,0,0
CUST_000195,23,Accra,11,Prepaid,773,11.3,43,85.55,0,0,1,14,0,0
CUST_000196,49,Accra,41,Prepaid,460,9.27,50,66.54,1,0,2,8,0,0
CUST_000197,45,Accra,82,Prepaid,42,0.34,53,28.08,0,3,2,4,0,0
CUST_000198,27,Tema,30,Postpaid,44,5.35,54,38.3,0,2,1,26,0,0
CUST_000199,51,Cape Coast,33,Prepaid,610,8.12,50,71.74,1,2,0,39,0,0
CUST_000200,55,Kumasi,52,Prepaid,1177,4.32,53,92.79,0,2,0,6,0,0
CUST_000201,35,Accra,4,Postpaid,994,0.4,54,75.9,0,0,1,18,0,0
CUST_000202,22,Accra,21,Postpaid,813,1.54,53,69.03,1,0,0,8,0,0
CUST_000203,39,Kumasi,1,Prepaid,84,5.5,46,39.8,2,3,0,1,0,1
CUST_000204,44,Sekondi-Takoradi,46,Prepaid,744,30.22,44,122.04,0,0,0,27,0,0
CUST_000205,42,Kumasi,34,Postpaid,1523,0.2,58,102.35,0,1,2,25,0,0
CUST_000206,40,Sekondi-Takoradi,63,Prepaid,99,13.24,47,56.13,0,10,3,1,0,0
CUST_000207,41,Accra,4,Postpaid,343,3.47,54,49.49,0,2,1,10,0,0
CUST_000208,53,Tamale,43,Prepaid,947,8.12,68,90.39,0,1,0,5,1,0
CUST_000209,29,Accra,1,Postpaid,346,2.75,38,46.6,0,3,1,6,1,1
CUST_000210,38,Kumasi,87,Prepaid,916,3.13,58,77.86,0,0,4,1,0,0
CUST_000211,29,Accra,4,Prepaid,303,0.8,45,41.25,0,0,0,7,0,0
CUST_000212,30,Accra,10,Prepaid,562,10.0,42,72.3,0,0,2,12,0,0
CUST_000213,24,Obuasi,14,Postpaid,393,1.83,57,49.01,0,1,2,35,0,0
CUST_000214,20,Sunyani,16,Prepaid,244,6.77,50,50.74,1,3,1,25,0,0
CUST_000215,38,Accra,20,Prepaid,114,3.36,53,37.72,0,0,1,3,0,0
CUST_000216,28,Accra,62,Prepaid,928,17.52,51,106.54,0,3,0,14,1,0
CUST_000217,21,Sunyani,5,Prepaid,797,10.36,44,84.97,1,1,1,7,0,0
CUST_000218,27,Accra,57,Postpaid,193,3.16,49,40.87,0,1,1,26,0,0
CUST_000219,36,Accra,22,Postpaid,47,12.07,50,51.49,0,0,1,3,0,0
CUST_000220,37,Sunyani,7,Postpaid,165,0.95,47,34.85,0,2,0,4,0,0
CUST_000221,27,Sunyani,1,Postpaid,341,8.77,50,59.59,0,0,3,20,0,0
CUST_000222,38,Kumasi,7,Prepaid,687,1.65,69,64.55,1,1,1,1,0,0
CUST_000223,29,Cape Coast,63,Prepaid,127,0.32,39,30.89,0,0,2,11,0,0
CUST_000224,45,Cape Coast,40,Postpaid,476,7.07,35,61.44,0,2,1,40,0,0
CUST_000225,25,Accra,4,Prepaid,219,2.09,48,39.93,0,1,0,6,0,0
CUST_000226,36,Accra,55,Prepaid,147,2.11,55,37.07,2,2,1,1,0,0
CUST_000227,21,Sunyani,3,Prepaid,4499,19.7,43,288.65,0,0,1,3,0,0
CUST_000228,18,Kumasi,1,Postpaid,170,0.27,54,34.44,0,0,1,30,0,0
CUST_000229,27,Sunyani,5,Prepaid,1139,0.44,49,82.73,0,3,1,6,1,0
CUST_000230,39,Kumasi,1,Postpaid,2855,3.23,48,174.01,0,0,1,50,1,0
CUST_000231,18,Kumasi,43,Prepaid,1266,8.43,52,105.36,0,0,0,20,0,0
CUST_000232,30,Koforidua,42,Postpaid,284,0.21,48,39.42,1,0,1,4,0,0
CUST_000233,51,Kumasi,12,Postpaid,1684,6.98,51,123.26,0,2,1,13,1,0
CUST_000234,32,Kumasi,44,Prepaid,550,3.31,50,59.12,0,0,0,1,1,0
CUST_000235,24,Sunyani,26,Postpaid,1450,8.18,65,115.36,1,9,0,19,0,0
CUST_000236,40,Accra,6,Postpaid,127,1.84,51,35.13,0,0,1,1,0,0
CUST_000237,47,Tamale,4,Prepaid,2112,1.33,74,135.66,1,1,0,15,0,0
CUST_000238,33,Accra,21,Prepaid,388,2.53,45,48.96,0,4,1,9,0,0
CUST_000239,42,Tamale,63,Prepaid,233,0.5,49,37.55,1,0,1,10,0,0
CUST_000240,38,Accra,39,Prepaid,123,7.14,42,44.63,0,0,1,1,0,0
CUST_000241,19,Sekondi-Takoradi,52,Prepaid,876,11.3,46,91.0,0,0,3,3,1,0
CUST_000242,30,Kumasi,117,Prepaid,328,0.85,57,43.8,0,4,0,17,0,0
CUST_000243,48,Tema,5,Postpaid,497,13.62,54,77.49,0,0,1,60,0,0
CUST_000244,42,Accra,2,Prepaid,271,0.67,58,40.69,0,2,1,26,0,0
CUST_000245,51,Accra,5,Prepaid,808,0.31,41,65.12,0,0,2,1,0,0
CUST_000246,22,Kumasi,19,Prepaid,2728,0.96,46,162.92,1,4,1,1,0,0
CUST_000247,32,Sekondi-Takoradi,3,Prepaid,872,6.27,45,80.64,0,2,1,5,0,0
CUST_000248,32,Kumasi,31,Postpaid,422,1.95,53,50.3,0,0,0,45,0,0
CUST_000249,45,Kumasi,3,Prepaid,829,0.1,55,67.15,0,1,3,14,0,0
CUST_000250,31,Kumasi,9,Prepaid,326,0.51,49,42.22,2,3,0,9,0,0
CUST_000251,39,Obuasi,3,Prepaid,157,4.32,54,41.89,0,1,0,6,0,0
CUST_000252,31,Sekondi-Takoradi,79,Prepaid,317,0.57,49,41.89,0,0,0,15,0,0
CUST_000253,58,Tamale,6,Postpaid,395,1.84,52,48.63,1,2,0,11,0,0
CUST_000254,43,Accra,1,Prepaid,316,1.9,54,45.0,0,1,2,15,1,0
CUST_000255,35,Sekondi-Takoradi,4,Postpaid,48,5.37,47,37.84,1,0,1,1,0,0
CUST_000256,64,Tamale,20,Prepaid,234,2.57,46,41.44,0,0,1,14,0,0
CUST_000257,48,Sunyani,18,Prepaid,229,0.41,51,37.37,0,0,0,10,0,0
CUST_000258,41,Accra,42,Postpaid,1788,0.42,49,115.14,2,5,0,60,0,0
CUST_000259,40,Sekondi-Takoradi,20,Postpaid,32,13.74,54,54.48,2,8,0,5,0,0
CUST_000260,28,Tema,21,Postpaid,348,11.63,47,65.36,0,0,3,14,0,0
CUST_000261,18,Sekondi-Takoradi,76,Postpaid,2314,3.89,52,148.68,1,0,0,25,0,0
CUST_000262,33,Accra,4,Postpaid,180,1.02,43,35.34,0,1,1,2,0,0
CUST_000263,55,Obuasi,50,Prepaid,2689,4.08,68,169.41,0,0,0,18,0,0
CUST_000264,29,Sekondi-Takoradi,4,Prepaid,324,0.68,40,41.56,0,9,2,14,0,0
CUST_000265,21,Tema,16,Prepaid,2368,2.68,42,147.96,1,2,0,4,0,0
CUST_000266,41,Kumasi,15,Postpaid,2793,12.78,37,188.91,0,3,1,31,0,0
CUST_000267,27,Ho,31,Prepaid,1185,2.72,52,89.89,2,2,0,14,0,0
CUST_000268,39,Tamale,12,Prepaid,176,0.71,47,34.92,0,1,0,15,0,0
CUST_000269,18,Accra,32,Postpaid,566,0.13,47,53.26,0,0,2,16,0,0
CUST_000270,56,Kumasi,17,Prepaid,92,1.7,45,32.5,0,1,1,1,0,0
CUST_000271,46,Tamale,5,Prepaid,424,0.11,59,47.32,0,1,3,3,0,0
CUST_000272,18,Sekondi-Takoradi,22,Prepaid,2598,0.43,38,154.56,0,0,0,30,0,0
CUST_000273,33,Sekondi-Takoradi,19,Prepaid,1095,5.44,45,90.13,0,0,1,2,1,0
CUST_000274,44,Accra,34,Prepaid,182,1.87,48,37.64,2,0,4,20,0,0
CUST_000275,18,Koforidua,13,Postpaid,422,5.18,55,56.96,0,0,0,43,0,0
CUST_000276,30,Obuasi,75,Prepaid,584,2.36,47,58.62,0,0,0,29,0,0
CUST_000277,39,Sunyani,3,Prepaid,699,5.86,65,73.17,0,2,1,29,0,0
CUST_000278,49,Kumasi,33,Postpaid,114,8.36,65,48.92,1,2,2,3,0,0
CUST_000279,30,Obuasi,4,Postpaid,1152,9.05,51,100.8,0,1,3,20,0,0
CUST_000280,28,Tamale,12,Postpaid,562,10.87,54,75.24,0,0,1,8,0,0
CUST_000281,34,Tamale,10,Postpaid,503,2.11,50,54.37,1,1,0,5,0,0
CUST_000282,18,Ho,36,Postpaid,67,1.09,57,31.23,0,1,0,12,0,0
CUST_000283,44,Kumasi,10,Prepaid,357,0.28,43,42.71,0,0,3,1,0,0
CUST_000284,35,Tema,10,Prepaid,142,2.35,52,37.0,0,0,1,3,0,0
CUST_000285,26,Accra,27,Postpaid,56,3.56,56,35.52,0,9,1,7,0,0
CUST_000286,28,Obuasi,42,Prepaid,1129,0.1,46,81.25,0,0,0,6,0,0
CUST_000287,34,Accra,9,Prepaid,1008,0.56,66,78.12,0,0,0,27,0,0
CUST_000288,40,Tema,18,Prepaid,252,0.41,67,40.12,1,3,0,26,0,0
CUST_000289,33,Sekondi-Takoradi,8,Prepaid,498,1.71,47,53.02,0,0,1,12,0,0
CUST_000290,36,Accra,2,Prepaid,122,2.37,48,35.64,2,0,0,53,0,0
CUST_000291,34,Accra,35,Prepaid,484,2.1,53,53.7,0,5,4,6,0,0
CUST_000292,49,Accra,11,Postpaid,589,0.71,43,55.17,0,2,2,4,0,0
CUST_000293,50,Kumasi,1,Prepaid,133,5.86,46,42.97,0,0,0,1,1,0
